,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
12,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,,,,11,,,,,,
13,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,,,,1,,,,,,
14,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,,,,3,,,,,,
15,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,,,,1,,,,,,
16,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,,,,6,,,,,,
17,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,,,,1,,,,,,
18,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,ESP,Spain,,,,,1,,,,,,1 of 1 reported cases are imported.
19,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,ESP,Spain,,,,,1,,,,,,1 of 1 reported cases are imported.
20,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,ESP,Spain,,,,,2,,,,,,2 of 2 reported cases are imported.
21,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,ESP,Spain,,,,,2,,,,,,2 of 2 reported cases are imported.
22,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,ESP,Spain,,,,,5,,,,,,5 of 5 reported cases are imported.
23,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,ESP,Spain,,,,,2,2.00000,,,,,
24,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
25,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
26,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
27,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
28,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
29,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
30,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
31,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
32,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
33,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
34,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
35,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
36,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
37,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
38,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
39,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
40,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
41,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
42,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
43,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
44,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
45,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
46,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
47,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
48,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
49,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
50,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
51,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
52,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
53,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
54,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
55,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
56,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,ESP,Spain,,,,,0,,,,,,
57,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,ESP,Spain,,,,,0,0.00000,,,,,
58,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,10005,10005.00000,,,,,
59,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,4259,4259.00000,,,,,
60,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,5746,5746.00000,,,,,
61,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,8963,8963.00000,,,,,
62,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,3807,3807.00000,,,,,
63,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,5156,5156.00000,,,,,
64,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,8021,8021.00000,,,,,
65,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,3407,3407.00000,,,,,
66,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,4614,4614.00000,,,,,
67,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,7191,7191.00000,,,,,
68,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,3067,3067.00000,,,,,
69,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,4124,4124.00000,,,,,
70,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,6478,6478.00000,,,,,
71,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,2772,2772.00000,,,,,
72,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,3706,3706.00000,,,,,
73,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,5874,5874.00000,,,,,
74,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,2513,2513.00000,,,,,
75,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,3361,3361.00000,,,,,
76,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,5368,5368.00000,,,,,
77,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,2299,2299.00000,,,,,
78,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,3069,3069.00000,,,,,
79,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,4949,4949.00000,,,,,
80,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,2120,2120.00000,,,,,
81,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,2829,2829.00000,,,,,
82,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,4592,4592.00000,,,,,
83,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1974,1974.00000,,,,,
84,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,2618,2618.00000,,,,,
85,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1988,1988,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,4282,4282.00000,,,,,
86,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1988,1988,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1848,1848.00000,,,,,
87,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1988,1988,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,2434,2434.00000,,,,,
88,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,4006,4006.00000,,,,,
89,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1731,1731.00000,,,,,
90,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,2275,2275.00000,,,,,
91,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,3755,3755.00000,,,,,
92,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1630,1630.00000,,,,,
93,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,2125,2125.00000,,,,,
94,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,3521,3521.00000,,,,,
95,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1528,1528.00000,,,,,
96,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1993,1993.00000,,,,,
97,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,3291,3291.00000,,,,,
98,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1428,1428.00000,,,,,
99,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1863,1863.00000,,,,,
100,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,3061,3061.00000,,,,,
101,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1334,1334.00000,,,,,
102,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1727,1727.00000,,,,,
103,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,2838,2838.00000,,,,,
104,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1237,1237.00000,,,,,
105,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1601,1601.00000,,,,,
106,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,2634,2634.00000,,,,,
107,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1148,1148.00000,,,,,
108,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1486,1486.00000,,,,,
109,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,2462,2462.00000,,,,,
110,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1078,1078.00000,,,,,
111,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1384,1384.00000,,,,,
112,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,2323,2323.00000,,,,,
113,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,1018,1018.00000,,,,,
114,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1305,1305.00000,,,,,
115,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,ESP,Spain,,BTSX,Both sexes,,2222,2222.00000,,,,,
116,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,ESP,Spain,,FMLE,Female,,976,976.00000,,,,,
117,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,ESP,Spain,,MLE,Male,,1246,1246.00000,,,,,
